episode,reward,avg_reward,loss,epsilon,learning_rate
0,199.18742975122456,199.18742975122456,0.851253866515261,0.3897078735047413,0.00015
1,165.8413496563988,182.51438970381167,0.7931100950029093,0.14300635237083656,3.75e-05
2,161.81755507418436,175.61544482726924,0.6952051581295372,0.052477299559006776,9.375e-06
3,149.4595866024298,169.07648027105938,0.62983156752957,0.019256955536244666,2.34375e-06
4,147.97249707457215,164.85568363176193,0.6037108182628085,0.01,5.859375e-07
5,144.31200677009696,161.43173748815113,0.5585895884074271,0.01,1.46484375e-07
6,143.6017023837917,158.88458961609976,0.528741858329624,0.01,3.662109375e-08
7,144.48376442871808,157.08448646767704,0.5752001473046839,0.01,9.1552734375e-09
8,144.46693587010367,155.68253640128,0.6404903785474598,0.01,2.288818359375e-09
9,147.1251163875652,154.82679439990852,0.6825410706810653,0.01,5.7220458984375e-10
10,144.29065481146944,153.86896352823226,0.7401956398673356,0.01,1.430511474609375e-10
11,147.40651930421345,153.330426509564,0.7951053037978709,0.01,3.576278686523437e-11
12,143.82486289978957,152.59922930881214,0.754935696940869,0.01,8.940696716308593e-12
13,147.44323747349145,152.23094417771782,0.7173130349926651,0.01,2.2351741790771482e-12
14,144.20017873905732,151.69555981514043,0.682116519510746,0.01,5.587935447692871e-13
15,144.42432729442572,151.24110778259575,0.6090879919156432,0.01,1.3969838619232177e-13
16,144.33695985775137,150.8349814340755,0.5563881659060717,0.01,3.492459654808044e-14
17,143.76990475851915,150.44247717432236,0.5592196253985167,0.01,8.73114913702011e-15
18,146.4959218351845,150.2347637354204,0.5613171197846532,0.01,2.1827872842550276e-15
19,150.64190433115837,150.2551207652073,0.5738773306161166,0.01,5.456968210637569e-16
20,144.80658946778328,149.9956668939014,0.5812971959486604,0.01,1.3642420526593922e-16
21,144.23890689902095,149.73399598504318,0.5961549907028675,0.01,3.4106051316484806e-17
22,144.5444374759762,149.50836300638812,0.6316371674984693,0.01,8.526512829121201e-18
23,143.8919223234206,149.2743446445978,0.6700624709017575,0.01,2.1316282072803004e-18
24,147.52424345617294,149.2043405970608,0.6897892207913101,0.01,5.329070518200751e-19
25,147.55482934561934,149.14089785662074,0.7147343978844583,0.01,1.3322676295501877e-19
26,144.54669189322553,148.9707420801987,0.7203810172043741,0.01,3.3306690738754693e-20
27,146.87159563186233,148.89577256418667,0.7002139008454978,0.01,8.326672684688673e-21
28,143.8823952769685,148.72289748531705,0.6954233166649938,0.01,2.0816681711721683e-21
29,144.18261916882867,148.57155487476746,0.7016502144783735,0.01,5.204170427930421e-22
30,147.71494117752138,148.5439221748563,0.7327409126460552,0.01,1.3010426069826052e-22
31,147.88493682357424,148.52332888262873,0.7475601132288575,0.01,3.252606517456513e-23
32,143.67769673691527,148.37649154487983,0.7989059948734939,0.01,8.131516293641283e-24
33,147.35905662473309,148.34656698840493,0.8024334567375481,0.01,2.0328790734103206e-24
34,144.06882648005788,148.22434583102358,0.8124026154801249,0.01,5.082197683525802e-25
35,148.28011510430593,148.22589497750366,0.7836080077737569,0.01,1.2705494208814504e-25
36,144.1032998884516,148.11447348861037,0.7574351228103041,0.01,3.176373552203626e-26
37,147.3340875937102,148.09393701769196,0.7282299636490643,0.01,7.940933880509065e-27
38,144.43790646375285,148.00019264451404,0.7393669493980706,0.01,1.9852334701272662e-27
39,147.03787273000532,147.9761346466513,0.7316788197457791,0.01,4.963083675318166e-28
40,147.24956010901994,147.95841331646517,0.7213325706571341,0.01,1.2407709188295414e-28
41,144.13509422932339,147.86738190962848,0.7419797292500734,0.01,3.1019272970738535e-29
42,147.3309243935902,147.85490615344153,0.7398039616793394,0.01,7.754818242684634e-30
43,144.4551333502717,147.7776385897331,0.7114879035875201,0.01,1.9387045606711584e-30
44,143.69319653250344,147.6868732106836,0.7208625312447547,0.01,4.846761401677896e-31
45,144.01733494401248,147.607100639669,0.7637758966833353,0.01,1.211690350419474e-31
46,144.4137322206748,147.53915663075423,0.7516177877523005,0.01,3.029225876048685e-32
47,144.0671873261273,147.4668239369078,0.7402541517950595,0.01,7.573064690121713e-33
48,151.6048188212248,147.55127281209792,0.7336327350102365,0.01,1.893266172530428e-33
49,147.07578530475635,147.5417630619511,0.7202142842411995,0.01,4.73316543132607e-34
50,143.81383534333307,147.46866644001742,0.6924841855764389,0.01,1.1832913578315176e-34
51,144.1317997545295,147.40449592683495,0.6773425098769367,0.01,2.958228394578794e-35
52,147.43818952427773,147.40513165508858,0.6850648191459477,0.01,7.395570986446985e-36
53,143.9496465076912,147.34114118939604,0.6876367285065353,0.01,1.8488927466117463e-36
54,144.43746794758044,147.28834713045393,0.6839116220697761,0.01,4.622231866529366e-37
55,143.92026735449878,147.2282028487405,0.6650760201886297,0.01,1.1555579666323414e-37
